region_id,region_name,region_pfpr_median,region_pfpr_min,region_pfpr_max,OBJECTID,map_pfpr_2020,mis_pfpr_2018,Scalar,Checksum
1,Acholi,12.298460860813845,7.885827246214592,15.67908573703326,1,42.730000000000004,12.0,0.281,0.12
2,Ankole,5.4968621499916015,3.545051694954849,7.387385467634807,2,13.350000000000001,3.0,0.225,0.03
3,Bugisu,6.924768726784345,4.512403739529388,9.189732745129628,3,10.059999999999999,5.0,0.497,0.05
4,Bukedi,5.381782883535404,3.5137227235609094,7.0994111503606785,4,12.26,3.0,0.245,0.03
5,Bunyoro,10.717206698306473,6.955802592963433,13.83342887738176,5,15.09,9.0,0.596,0.09
6,Busoga,21.65636499318985,13.749038821516304,25.848682417207584,6,24.98,21.0,0.841,0.21
7,South Buganda,4.20200812489462,2.727685886229395,5.642849078603257,7,8.1,1.0,0.123,0.01
8,North Buganda,11.009523034757922,6.847940238941888,14.138309373363255,8,14.219999999999999,9.0,0.633,0.09
9,Kampala,2.066466341039516,1.3166042892579053,2.813589238464296,9,7.449999999999999,0.5,0.067,0.005
10,Karamoja,35.182398688039456,24.104899402819996,39.85744000551036,10,45.32,34.0,0.75,0.34
11,Kigezi,2.113560866515061,1.3602197532086668,2.799668379226228,11,5.75,0.5,0.087,0.005
12,Lango,13.673771991449808,8.541468809311365,17.326448987846987,12,40.63,13.0,0.32,0.13
13,Teso,9.862704541955768,6.436612508028254,12.838073403235057,13,22.23,8.0,0.36,0.08
14,Tooro,6.801993579291451,4.461712492386733,8.901458148559787,14,11.15,5.0,0.448,0.05
15,West Nile,21.783316004627565,13.866129025466428,26.145315046618705,15,42.96,22.0,0.512,0.22
