date,run,scenario,Drug,Efficacy
2004-01-01,0,000_status_quo,AL,0.9258244418028394
2004-01-01,1,000_status_quo,AL,0.9255463151599217
2004-01-01,2,000_status_quo,AL,0.9254209272733798
2004-01-01,3,000_status_quo,AL,0.924903848319591
2004-01-01,4,000_status_quo,AL,0.9249834499200354
2004-01-01,5,000_status_quo,AL,0.9255597848780147
2004-01-01,6,000_status_quo,AL,0.9256614815433011
2004-01-01,7,000_status_quo,AL,0.9247028696702994
2004-01-01,8,000_status_quo,AL,0.9256877525436716
2004-01-01,9,000_status_quo,AL,0.9258100661281522
2004-01-01,10,000_status_quo,AL,0.9252907055219065
2004-01-01,11,000_status_quo,AL,0.9255223127947236
2004-01-01,12,000_status_quo,AL,0.9251199994037242
2004-01-01,13,000_status_quo,AL,0.9257558282746555
2004-01-01,14,000_status_quo,AL,0.9253405922754586
2004-01-01,15,000_status_quo,AL,0.9263779754463703
2004-01-01,16,000_status_quo,AL,0.9258469073756451
2004-01-01,17,000_status_quo,AL,0.9250105764813924
2004-01-01,18,000_status_quo,AL,0.9255469921970437
2004-01-01,19,000_status_quo,AL,0.9254564479395174
2004-01-01,20,000_status_quo,AL,0.9259366427255311
2004-01-01,21,000_status_quo,AL,0.9260307949991847
2004-01-01,22,000_status_quo,AL,0.925094630097524
2004-01-01,23,000_status_quo,AL,0.9255700113160875
2004-01-01,24,000_status_quo,AL,0.9255591520654088
2004-01-01,25,000_status_quo,AL,0.9256835853798472
2004-01-01,26,000_status_quo,AL,0.9255608960420938
2004-01-01,27,000_status_quo,AL,0.9247757763378405
2004-01-01,28,000_status_quo,AL,0.9255882338596475
2004-01-01,29,000_status_quo,AL,0.9245755332044545
2004-01-01,30,000_status_quo,AL,0.925284613686558
2004-01-01,31,000_status_quo,AL,0.9256967977245248
2004-02-01,0,000_status_quo,AL,0.9257913357612503
2004-02-01,1,000_status_quo,AL,0.9256943682367795
2004-02-01,2,000_status_quo,AL,0.9251313238490544
2004-02-01,3,000_status_quo,AL,0.9262373638458955
2004-02-01,4,000_status_quo,AL,0.9258883552657118
2004-02-01,5,000_status_quo,AL,0.9249090912802019
2004-02-01,6,000_status_quo,AL,0.9257407399700567
2004-02-01,7,000_status_quo,AL,0.9260261789282436
2004-02-01,8,000_status_quo,AL,0.9253031712133124
2004-02-01,9,000_status_quo,AL,0.9257982015201082
2004-02-01,10,000_status_quo,AL,0.9255435208990229
2004-02-01,11,000_status_quo,AL,0.9253719072216219
2004-02-01,12,000_status_quo,AL,0.9261792531237274
2004-02-01,13,000_status_quo,AL,0.9251516017786311
2004-02-01,14,000_status_quo,AL,0.9257036860655417
2004-02-01,15,000_status_quo,AL,0.9244505034976044
2004-02-01,16,000_status_quo,AL,0.926235788728261
2004-02-01,17,000_status_quo,AL,0.926077690102281
2004-02-01,18,000_status_quo,AL,0.925453197643532
2004-02-01,19,000_status_quo,AL,0.9263043674358955
2004-02-01,20,000_status_quo,AL,0.9257476073102028
2004-02-01,21,000_status_quo,AL,0.9249466716934971
2004-02-01,22,000_status_quo,AL,0.9261516305788238
2004-02-01,23,000_status_quo,AL,0.9245357470666449
2004-02-01,24,000_status_quo,AL,0.92652493508003
2004-02-01,25,000_status_quo,AL,0.9253199259565438
2004-02-01,26,000_status_quo,AL,0.9243543970837622
2004-02-01,27,000_status_quo,AL,0.9261034725890573
2004-02-01,28,000_status_quo,AL,0.925557697381572
2004-02-01,29,000_status_quo,AL,0.9247094752574492
2004-02-01,30,000_status_quo,AL,0.9252160569523512
2004-02-01,31,000_status_quo,AL,0.9251998234128089
2004-03-01,0,000_status_quo,AL,0.9248063158329283
2004-03-01,1,000_status_quo,AL,0.9260443381133675
2004-03-01,2,000_status_quo,AL,0.9244973260019079
2004-03-01,3,000_status_quo,AL,0.9269393146620102
2004-03-01,4,000_status_quo,AL,0.926041457953572
2004-03-01,5,000_status_quo,AL,0.9247613978692385
2004-03-01,6,000_status_quo,AL,0.9251830042382506
2004-03-01,7,000_status_quo,AL,0.9265835425226682
2004-03-01,8,000_status_quo,AL,0.9261865094355853
2004-03-01,9,000_status_quo,AL,0.9263161751347196
2004-03-01,10,000_status_quo,AL,0.9261318874405586
2004-03-01,11,000_status_quo,AL,0.9250898882925674
2004-03-01,12,000_status_quo,AL,0.925882104124616
2004-03-01,13,000_status_quo,AL,0.9257558632202854
2004-03-01,14,000_status_quo,AL,0.9256469299177675
2004-03-01,15,000_status_quo,AL,0.9236584808453806
2004-03-01,16,000_status_quo,AL,0.9248635448601024
2004-03-01,17,000_status_quo,AL,0.9262598056067051
2004-03-01,18,000_status_quo,AL,0.9246809619055277
2004-03-01,19,000_status_quo,AL,0.9249206436848133
2004-03-01,20,000_status_quo,AL,0.9265809270320117
2004-03-01,21,000_status_quo,AL,0.9263952388046541
2004-03-01,22,000_status_quo,AL,0.9268948053094254
2004-03-01,23,000_status_quo,AL,0.9257105233056182
2004-03-01,24,000_status_quo,AL,0.9260422471404073
2004-03-01,25,000_status_quo,AL,0.926202434228112
2004-03-01,26,000_status_quo,AL,0.9253470848454851
2004-03-01,27,000_status_quo,AL,0.9257473264063335
2004-03-01,28,000_status_quo,AL,0.9263838102349656
2004-03-01,29,000_status_quo,AL,0.9237818098813678
2004-03-01,30,000_status_quo,AL,0.9258482884147592
2004-03-01,31,000_status_quo,AL,0.9257433817489336
2004-04-01,0,000_status_quo,AL,0.9248675687342948
2004-04-01,1,000_status_quo,AL,0.9257698713758856
2004-04-01,2,000_status_quo,AL,0.9258510233908004
2004-04-01,3,000_status_quo,AL,0.9254077525798342
2004-04-01,4,000_status_quo,AL,0.9262544623749333
2004-04-01,5,000_status_quo,AL,0.9248061710871153
2004-04-01,6,000_status_quo,AL,0.9259679090663665
2004-04-01,7,000_status_quo,AL,0.9266705177326279
2004-04-01,8,000_status_quo,AL,0.9247329282872945
2004-04-01,9,000_status_quo,AL,0.9260649933160233
2004-04-01,10,000_status_quo,AL,0.9254097070755415
2004-04-01,11,000_status_quo,AL,0.926072640820598
2004-04-01,12,000_status_quo,AL,0.9271745269794298
2004-04-01,13,000_status_quo,AL,0.9250436564950143
2004-04-01,14,000_status_quo,AL,0.9246737429883344
2004-04-01,15,000_status_quo,AL,0.9260133529445316
2004-04-01,16,000_status_quo,AL,0.9260558612320559
2004-04-01,17,000_status_quo,AL,0.9262622291117167
2004-04-01,18,000_status_quo,AL,0.9249441602432015
2004-04-01,19,000_status_quo,AL,0.9260963627900972
2004-04-01,20,000_status_quo,AL,0.9261415483527885
2004-04-01,21,000_status_quo,AL,0.9261420909268726
2004-04-01,22,000_status_quo,AL,0.9264300152568972
2004-04-01,23,000_status_quo,AL,0.9257172119128316
2004-04-01,24,000_status_quo,AL,0.92662785891046
2004-04-01,25,000_status_quo,AL,0.9270113351576496
2004-04-01,26,000_status_quo,AL,0.9255611005183083
2004-04-01,27,000_status_quo,AL,0.9256786930619025
2004-04-01,28,000_status_quo,AL,0.9262039724588873
2004-04-01,29,000_status_quo,AL,0.9252883696232292
2004-04-01,30,000_status_quo,AL,0.9255213934525982
2004-04-01,31,000_status_quo,AL,0.9248164199151504
2004-05-01,0,000_status_quo,AL,0.9249900336763593
2004-05-01,1,000_status_quo,AL,0.9243875354405648
2004-05-01,2,000_status_quo,AL,0.9241805163067216
2004-05-01,3,000_status_quo,AL,0.9249933037509876
2004-05-01,4,000_status_quo,AL,0.9267305074849604
2004-05-01,5,000_status_quo,AL,0.9252576195486802
2004-05-01,6,000_status_quo,AL,0.9259254947398345
2004-05-01,7,000_status_quo,AL,0.9253215316855518
2004-05-01,8,000_status_quo,AL,0.924436552978601
2004-05-01,9,000_status_quo,AL,0.9261692468633517
2004-05-01,10,000_status_quo,AL,0.9249597977166596
2004-05-01,11,000_status_quo,AL,0.9259451868973376
2004-05-01,12,000_status_quo,AL,0.9257893207546873
2004-05-01,13,000_status_quo,AL,0.92414584444893
2004-05-01,14,000_status_quo,AL,0.9243391131890746
2004-05-01,15,000_status_quo,AL,0.9257409775999004
2004-05-01,16,000_status_quo,AL,0.9255236279624429
2004-05-01,17,000_status_quo,AL,0.9254262468058039
2004-05-01,18,000_status_quo,AL,0.924918656931173
2004-05-01,19,000_status_quo,AL,0.9266941692337142
2004-05-01,20,000_status_quo,AL,0.9254001087190936
