date,run,scenario,Drug,Efficacy
2004-01-01,0,001_asaq,AL,0.9250215284591536
2004-01-01,1,001_asaq,AL,0.9255063107996221
2004-01-01,2,001_asaq,AL,0.9248842391382001
2004-01-01,3,001_asaq,AL,0.9247959493177453
2004-01-01,4,001_asaq,AL,0.9252725601065003
2004-01-01,5,001_asaq,AL,0.9257875322871605
2004-01-01,6,001_asaq,AL,0.9257242808280604
2004-01-01,7,001_asaq,AL,0.9259630605735805
2004-01-01,8,001_asaq,AL,0.9260308930043698
2004-01-01,9,001_asaq,AL,0.9250477978278585
2004-01-01,10,001_asaq,AL,0.9261432223549523
2004-01-01,11,001_asaq,AL,0.9252900331423342
2004-01-01,12,001_asaq,AL,0.9252742427407036
2004-01-01,13,001_asaq,AL,0.9251798895981154
2004-01-01,14,001_asaq,AL,0.9259502372366283
2004-01-01,15,001_asaq,AL,0.9264960412618658
2004-01-01,16,001_asaq,AL,0.9249575955702796
2004-01-01,17,001_asaq,AL,0.9248758365365516
2004-01-01,18,001_asaq,AL,0.9251641266992358
2004-01-01,19,001_asaq,AL,0.9248923855789789
2004-01-01,20,001_asaq,AL,0.9253205750299638
2004-01-01,21,001_asaq,AL,0.9254030924214693
2004-01-01,22,001_asaq,AL,0.925347621884269
2004-01-01,23,001_asaq,AL,0.9252273385796436
2004-01-01,24,001_asaq,AL,0.9252660345974832
2004-01-01,25,001_asaq,AL,0.9255148542487692
2004-01-01,26,001_asaq,AL,0.9254129637816443
2004-01-01,27,001_asaq,AL,0.9257541570434202
2004-01-01,28,001_asaq,AL,0.9250533590512376
2004-01-01,29,001_asaq,AL,0.9251455354870068
2004-01-01,30,001_asaq,AL,0.925714168026707
2004-01-01,31,001_asaq,AL,0.925576513398912
2004-02-01,0,001_asaq,AL,0.9251637368431453
2004-02-01,1,001_asaq,AL,0.9264913009073086
2004-02-01,2,001_asaq,AL,0.9248148898067344
2004-02-01,3,001_asaq,AL,0.9257549394319788
2004-02-01,4,001_asaq,AL,0.9261292069168503
2004-02-01,5,001_asaq,AL,0.9261649336758689
2004-02-01,6,001_asaq,AL,0.9268129944707745
2004-02-01,7,001_asaq,AL,0.9258064132316399
2004-02-01,8,001_asaq,AL,0.9251307824943228
2004-02-01,9,001_asaq,AL,0.9253473677210247
2004-02-01,10,001_asaq,AL,0.9256155602849433
2004-02-01,11,001_asaq,AL,0.9264169883035639
2004-02-01,12,001_asaq,AL,0.9247341967378211
2004-02-01,13,001_asaq,AL,0.9253696429565549
2004-02-01,14,001_asaq,AL,0.9257549580867813
2004-02-01,15,001_asaq,AL,0.9261682676247609
2004-02-01,16,001_asaq,AL,0.9264663446257332
2004-02-01,17,001_asaq,AL,0.9262766039065986
2004-02-01,18,001_asaq,AL,0.9257946237964324
2004-02-01,19,001_asaq,AL,0.9252246641036346
2004-02-01,20,001_asaq,AL,0.9258069447085779
2004-02-01,21,001_asaq,AL,0.9252561613871549
2004-02-01,22,001_asaq,AL,0.9259166469390104
2004-02-01,23,001_asaq,AL,0.9249377342161809
2004-02-01,24,001_asaq,AL,0.9268816622202136
2004-02-01,25,001_asaq,AL,0.9261040370444115
2004-02-01,26,001_asaq,AL,0.9263716987781091
2004-02-01,27,001_asaq,AL,0.9249082676819322
2004-02-01,28,001_asaq,AL,0.9256685234069398
2004-02-01,29,001_asaq,AL,0.9255151280218755
2004-02-01,30,001_asaq,AL,0.9263701139111071
2004-02-01,31,001_asaq,AL,0.9256784522211756
2004-03-01,0,001_asaq,AL,0.9264265006471206
2004-03-01,1,001_asaq,AL,0.9268245178564581
