date,run,scenario,Drug,Efficacy
2004-01-01,0,006_cycling_asaq_dhappq_2y,AL,0.9252701589050404
2004-01-01,1,006_cycling_asaq_dhappq_2y,AL,0.9253359426898027
2004-01-01,2,006_cycling_asaq_dhappq_2y,AL,0.9255530463490873
2004-01-01,3,006_cycling_asaq_dhappq_2y,AL,0.926130607964421
2004-01-01,4,006_cycling_asaq_dhappq_2y,AL,0.9252511637890887
2004-01-01,5,006_cycling_asaq_dhappq_2y,AL,0.924664213693957
2004-01-01,6,006_cycling_asaq_dhappq_2y,AL,0.9255677448308003
2004-01-01,7,006_cycling_asaq_dhappq_2y,AL,0.9252265012574115
2004-01-01,8,006_cycling_asaq_dhappq_2y,AL,0.9260084448124033
2004-01-01,9,006_cycling_asaq_dhappq_2y,AL,0.925292182573297
2004-01-01,10,006_cycling_asaq_dhappq_2y,AL,0.9253755491441638
2004-01-01,11,006_cycling_asaq_dhappq_2y,AL,0.9261388441848026
2004-01-01,12,006_cycling_asaq_dhappq_2y,AL,0.9252589419586542
2004-01-01,13,006_cycling_asaq_dhappq_2y,AL,0.9253012225552766
2004-01-01,14,006_cycling_asaq_dhappq_2y,AL,0.9252118133114324
2004-01-01,15,006_cycling_asaq_dhappq_2y,AL,0.925980190358985
2004-01-01,16,006_cycling_asaq_dhappq_2y,AL,0.9254313963104709
2004-01-01,17,006_cycling_asaq_dhappq_2y,AL,0.925451186237594
2004-01-01,18,006_cycling_asaq_dhappq_2y,AL,0.925692797331551
2004-01-01,19,006_cycling_asaq_dhappq_2y,AL,0.9253922694077991
2004-01-01,20,006_cycling_asaq_dhappq_2y,AL,0.9253013802081043
2004-01-01,21,006_cycling_asaq_dhappq_2y,AL,0.9253073401036619
2004-01-01,22,006_cycling_asaq_dhappq_2y,AL,0.9259297309166723
2004-01-01,23,006_cycling_asaq_dhappq_2y,AL,0.9253435074786291
2004-01-01,24,006_cycling_asaq_dhappq_2y,AL,0.9250620075372082
2004-01-01,25,006_cycling_asaq_dhappq_2y,AL,0.925404402403636
2004-01-01,26,006_cycling_asaq_dhappq_2y,AL,0.9252485105494611
2004-01-01,27,006_cycling_asaq_dhappq_2y,AL,0.9254642021555382
2004-01-01,28,006_cycling_asaq_dhappq_2y,AL,0.9256871130052217
2004-01-01,29,006_cycling_asaq_dhappq_2y,AL,0.9255083748282169
2004-01-01,30,006_cycling_asaq_dhappq_2y,AL,0.924958732273664
2004-01-01,31,006_cycling_asaq_dhappq_2y,AL,0.9250414360689142
2004-02-01,0,006_cycling_asaq_dhappq_2y,AL,0.9255965456167041
2004-02-01,1,006_cycling_asaq_dhappq_2y,AL,0.9254510387740799
2004-02-01,2,006_cycling_asaq_dhappq_2y,AL,0.9266858233313999
2004-02-01,3,006_cycling_asaq_dhappq_2y,AL,0.9258250605037457
