date,run,scenario,Drug,Efficacy
2004-01-01,0,008_cycling_dhappq_asaq_2y,AL,0.9256894861914557
2004-01-01,1,008_cycling_dhappq_asaq_2y,AL,0.9262692050612389
2004-01-01,2,008_cycling_dhappq_asaq_2y,AL,0.9248959757721142
2004-01-01,3,008_cycling_dhappq_asaq_2y,AL,0.9254707482601128
2004-01-01,4,008_cycling_dhappq_asaq_2y,AL,0.9254308006243239
2004-01-01,5,008_cycling_dhappq_asaq_2y,AL,0.9254964503323886
2004-01-01,6,008_cycling_dhappq_asaq_2y,AL,0.9251129519129049
2004-01-01,7,008_cycling_dhappq_asaq_2y,AL,0.9253220862878146
2004-01-01,8,008_cycling_dhappq_asaq_2y,AL,0.924830671492191
2004-01-01,9,008_cycling_dhappq_asaq_2y,AL,0.9250207417068682
2004-01-01,10,008_cycling_dhappq_asaq_2y,AL,0.9258892450486131
2004-01-01,11,008_cycling_dhappq_asaq_2y,AL,0.9255944276340338
2004-01-01,12,008_cycling_dhappq_asaq_2y,AL,0.9251276527214871
2004-01-01,13,008_cycling_dhappq_asaq_2y,AL,0.9254615883970844
2004-01-01,14,008_cycling_dhappq_asaq_2y,AL,0.9258877668844071
2004-01-01,15,008_cycling_dhappq_asaq_2y,AL,0.926092829775409
2004-01-01,16,008_cycling_dhappq_asaq_2y,AL,0.9257045004101239
2004-01-01,17,008_cycling_dhappq_asaq_2y,AL,0.9254597332966226
2004-01-01,18,008_cycling_dhappq_asaq_2y,AL,0.9253473847428517
2004-01-01,19,008_cycling_dhappq_asaq_2y,AL,0.9258941499051035
2004-01-01,20,008_cycling_dhappq_asaq_2y,AL,0.9251479028269635
2004-01-01,21,008_cycling_dhappq_asaq_2y,AL,0.926072693323654
2004-01-01,22,008_cycling_dhappq_asaq_2y,AL,0.9248418962429212
2004-01-01,23,008_cycling_dhappq_asaq_2y,AL,0.9252725287239062
2004-01-01,24,008_cycling_dhappq_asaq_2y,AL,0.92550927949086
2004-01-01,25,008_cycling_dhappq_asaq_2y,AL,0.9252210061193462
2004-01-01,26,008_cycling_dhappq_asaq_2y,AL,0.9248374690652819
2004-01-01,27,008_cycling_dhappq_asaq_2y,AL,0.9254472777409236
2004-01-01,28,008_cycling_dhappq_asaq_2y,AL,0.9253846355258528
2004-01-01,29,008_cycling_dhappq_asaq_2y,AL,0.9255545647822137
2004-01-01,30,008_cycling_dhappq_asaq_2y,AL,0.9256307151977957
2004-01-01,31,008_cycling_dhappq_asaq_2y,AL,0.9255118059062443
2004-02-01,0,008_cycling_dhappq_asaq_2y,AL,0.9259151556525668
2004-02-01,1,008_cycling_dhappq_asaq_2y,AL,0.9256009847820831
2004-02-01,2,008_cycling_dhappq_asaq_2y,AL,0.9257985113967167
2004-02-01,3,008_cycling_dhappq_asaq_2y,AL,0.9256788615340684
2004-02-01,4,008_cycling_dhappq_asaq_2y,AL,0.9264080815331187
2004-02-01,5,008_cycling_dhappq_asaq_2y,AL,0.9257122613179815
2004-02-01,6,008_cycling_dhappq_asaq_2y,AL,0.9243419624494663
2004-02-01,7,008_cycling_dhappq_asaq_2y,AL,0.9260914902015583
2004-02-01,8,008_cycling_dhappq_asaq_2y,AL,0.9262691726296277
2004-02-01,9,008_cycling_dhappq_asaq_2y,AL,0.9252111808183728
2004-02-01,10,008_cycling_dhappq_asaq_2y,AL,0.926553476654397
2004-02-01,11,008_cycling_dhappq_asaq_2y,AL,0.9247158431610808
2004-02-01,12,008_cycling_dhappq_asaq_2y,AL,0.9250607238540546
2004-02-01,13,008_cycling_dhappq_asaq_2y,AL,0.9252784977429941
2004-02-01,14,008_cycling_dhappq_asaq_2y,AL,0.9256806924725719
