date,run,scenario,Drug,Efficacy
2004-01-01,0,015_mft_al25_asaq75,AL,0.9252231852227908
2004-01-01,1,015_mft_al25_asaq75,AL,0.9249460594207869
2004-01-01,2,015_mft_al25_asaq75,AL,0.9253588583326723
2004-01-01,3,015_mft_al25_asaq75,AL,0.9253164876747675
2004-01-01,4,015_mft_al25_asaq75,AL,0.9245738419970331
2004-01-01,5,015_mft_al25_asaq75,AL,0.9250652391109545
2004-01-01,6,015_mft_al25_asaq75,AL,0.9252118119132856
2004-01-01,7,015_mft_al25_asaq75,AL,0.9251559025542706
2004-01-01,8,015_mft_al25_asaq75,AL,0.9255246706488867
2004-01-01,9,015_mft_al25_asaq75,AL,0.9260131749082722
2004-01-01,10,015_mft_al25_asaq75,AL,0.9257420611956163
2004-01-01,11,015_mft_al25_asaq75,AL,0.9252417155857418
2004-01-01,12,015_mft_al25_asaq75,AL,0.9255216622014527
2004-01-01,13,015_mft_al25_asaq75,AL,0.9262870279300845
2004-01-01,14,015_mft_al25_asaq75,AL,0.9253794002295898
2004-01-01,15,015_mft_al25_asaq75,AL,0.9250090471769677
2004-01-01,16,015_mft_al25_asaq75,AL,0.9257331398200893
2004-01-01,17,015_mft_al25_asaq75,AL,0.9252753954344856
2004-01-01,18,015_mft_al25_asaq75,AL,0.9248748836877564
2004-01-01,19,015_mft_al25_asaq75,AL,0.9248870010896143
2004-01-01,20,015_mft_al25_asaq75,AL,0.9245332136049902
2004-01-01,21,015_mft_al25_asaq75,AL,0.9259120425401803
2004-01-01,22,015_mft_al25_asaq75,AL,0.925613224307878
2004-01-01,23,015_mft_al25_asaq75,AL,0.9249251610033491
2004-01-01,24,015_mft_al25_asaq75,AL,0.9252294959181279
2004-01-01,25,015_mft_al25_asaq75,AL,0.9255341713571784
2004-01-01,26,015_mft_al25_asaq75,AL,0.9244284844576474
2004-01-01,27,015_mft_al25_asaq75,AL,0.9247103835299086
2004-01-01,28,015_mft_al25_asaq75,AL,0.9242722007144618
2004-01-01,29,015_mft_al25_asaq75,AL,0.9253976426453541
2004-01-01,30,015_mft_al25_asaq75,AL,0.9246209902973556
2004-01-01,31,015_mft_al25_asaq75,AL,0.9257182829805546
2004-02-01,0,015_mft_al25_asaq75,AL,0.9264955296136447
2004-02-01,1,015_mft_al25_asaq75,AL,0.9263894444942024
2004-02-01,2,015_mft_al25_asaq75,AL,0.9254020735609275
2004-02-01,3,015_mft_al25_asaq75,AL,0.925379558582706
2004-02-01,4,015_mft_al25_asaq75,AL,0.9249767234106614
2004-02-01,5,015_mft_al25_asaq75,AL,0.9263279256193493
2004-02-01,6,015_mft_al25_asaq75,AL,0.9255045951767388
2004-02-01,7,015_mft_al25_asaq75,AL,0.9256086529071292
