date,run,scenario,Drug,Efficacy
2004-01-01,0,002_dhappq,AL,0.925531827349904
2004-01-01,1,002_dhappq,AL,0.9249725480234174
2004-01-01,2,002_dhappq,AL,0.925511875642506
2004-01-01,3,002_dhappq,AL,0.9251338809900903
2004-01-01,4,002_dhappq,AL,0.9247868197121994
2004-01-01,5,002_dhappq,AL,0.9251548099268365
2004-01-01,6,002_dhappq,AL,0.9254142930577569
2004-01-01,7,002_dhappq,AL,0.9250533919772971
2004-01-01,8,002_dhappq,AL,0.9253475277953814
2004-01-01,9,002_dhappq,AL,0.9265922265229467
2004-01-01,10,002_dhappq,AL,0.9248576006102677
2004-01-01,11,002_dhappq,AL,0.926359727042417
2004-01-01,12,002_dhappq,AL,0.9253811822448388
2004-01-01,13,002_dhappq,AL,0.9254788762518907
2004-01-01,14,002_dhappq,AL,0.9257612822682212
2004-01-01,15,002_dhappq,AL,0.9254815732299942
2004-01-01,16,002_dhappq,AL,0.9257939465939025
2004-01-01,17,002_dhappq,AL,0.9253092823955487
2004-01-01,18,002_dhappq,AL,0.9252980378065425
2004-01-01,19,002_dhappq,AL,0.9256179904993228
2004-01-01,20,002_dhappq,AL,0.9252079878299985
2004-01-01,21,002_dhappq,AL,0.9259251932294197
2004-01-01,22,002_dhappq,AL,0.9254029122659301
2004-01-01,23,002_dhappq,AL,0.9253843976394778
2004-01-01,24,002_dhappq,AL,0.9257510982587339
2004-01-01,25,002_dhappq,AL,0.9254350969372639
2004-01-01,26,002_dhappq,AL,0.9255136068746369
2004-01-01,27,002_dhappq,AL,0.925815884073816
2004-01-01,28,002_dhappq,AL,0.9256065877059783
2004-01-01,29,002_dhappq,AL,0.9253569793933333
2004-01-01,30,002_dhappq,AL,0.925629611484051
2004-01-01,31,002_dhappq,AL,0.9255611163431706
2004-02-01,0,002_dhappq,AL,0.9256223743141154
2004-02-01,1,002_dhappq,AL,0.9272995981068765
2004-02-01,2,002_dhappq,AL,0.9262565426799082
2004-02-01,3,002_dhappq,AL,0.9270817165244176
2004-02-01,4,002_dhappq,AL,0.9249767175067699
2004-02-01,5,002_dhappq,AL,0.9243036050783238
2004-02-01,6,002_dhappq,AL,0.9251197795152764
2004-02-01,7,002_dhappq,AL,0.9270814010791306
2004-02-01,8,002_dhappq,AL,0.9254353810676498
2004-02-01,9,002_dhappq,AL,0.9265574710987319
2004-02-01,10,002_dhappq,AL,0.9255448118297612
2004-02-01,11,002_dhappq,AL,0.9253187950229235
2004-02-01,12,002_dhappq,AL,0.9256552827854023
2004-02-01,13,002_dhappq,AL,0.9253840608394076
2004-02-01,14,002_dhappq,AL,0.926165502642094
2004-02-01,15,002_dhappq,AL,0.9255226605435372
2004-02-01,16,002_dhappq,AL,0.9250605761676868
2004-02-01,17,002_dhappq,AL,0.9262089742806784
2004-02-01,18,002_dhappq,AL,0.9243870417303593
2004-02-01,19,002_dhappq,AL,0.9258161598734255
2004-02-01,20,002_dhappq,AL,0.9256138292037657
2004-02-01,21,002_dhappq,AL,0.9254481245736518
2004-02-01,22,002_dhappq,AL,0.9253823838589686
2004-02-01,23,002_dhappq,AL,0.9254829809139637
2004-02-01,24,002_dhappq,AL,0.9250840521642792
2004-02-01,25,002_dhappq,AL,0.9252818110936007
2004-02-01,26,002_dhappq,AL,0.9253013187007003
2004-02-01,27,002_dhappq,AL,0.9274264124771636
2004-02-01,28,002_dhappq,AL,0.9248984699880913
2004-02-01,29,002_dhappq,AL,0.9261910706403015
