scenario,run,total_treatmentfailures,year
asaq,0,37476788,2031
asaq,1,37860700,2031
asaq,2,38403400,2031
asaq,3,38545948,2031
asaq,4,37148980,2031
asaq,5,38115336,2031
asaq,6,37849092,2031
asaq,7,37309904,2031
asaq,8,37598448,2031
asaq,9,37492692,2031
asaq,10,37843300,2031
asaq,11,37666664,2031
asaq,12,37692116,2031
asaq,13,38713836,2031
asaq,14,36437764,2031
asaq,15,37582504,2031
asaq,16,37410472,2031
asaq,17,37507920,2031
asaq,18,37609880,2031
asaq,19,37939976,2031
asaq,20,36519048,2031
asaq,21,38076600,2031
asaq,22,36934728,2031
asaq,23,37107876,2031
asaq,24,37623828,2031
asaq,25,37304328,2031
asaq,26,37285132,2031
asaq,27,37785516,2031
asaq,28,38608016,2031
asaq,29,36456448,2031
asaq,30,38286044,2031
asaq,31,37750384,2031
cycling_al_asaq_1y,0,48914608,2031
cycling_al_asaq_1y,1,52442480,2031
cycling_al_asaq_1y,2,50378804,2031
cycling_al_asaq_1y,3,49777260,2031
cycling_al_asaq_1y,4,48788240,2031
cycling_al_asaq_1y,5,49066132,2031
cycling_al_asaq_1y,6,50543928,2031
cycling_al_asaq_1y,7,49858864,2031
cycling_al_asaq_1y,8,48713784,2031
cycling_al_asaq_1y,9,50235408,2031
cycling_al_asaq_1y,10,48882812,2031
cycling_al_asaq_1y,11,51421176,2031
cycling_al_asaq_1y,12,50911368,2031
cycling_al_asaq_1y,13,49702580,2031
cycling_al_asaq_1y,14,50653808,2031
cycling_al_asaq_1y,15,50068132,2031
cycling_al_asaq_1y,16,49203168,2031
cycling_al_asaq_1y,17,51102700,2031
cycling_al_asaq_1y,18,48635676,2031
cycling_al_asaq_1y,19,49818400,2031
cycling_al_asaq_1y,20,49477660,2031
cycling_al_asaq_1y,21,51302684,2031
cycling_al_asaq_1y,22,49569624,2031
cycling_al_asaq_1y,23,48885812,2031
cycling_al_asaq_1y,24,51763976,2031
cycling_al_asaq_1y,25,49375840,2031
cycling_al_asaq_1y,26,48998636,2031
cycling_al_asaq_1y,27,50183420,2031
cycling_al_asaq_1y,28,48842456,2031
cycling_al_asaq_1y,29,49545824,2031
cycling_al_asaq_1y,30,51878880,2031
cycling_al_asaq_1y,31,51599000,2031
cycling_al_asaq_2y,0,51664200,2031
cycling_al_asaq_2y,1,52478020,2031
cycling_al_asaq_2y,2,52475164,2031
cycling_al_asaq_2y,3,50803452,2031
cycling_al_asaq_2y,4,52025588,2031
cycling_al_asaq_2y,5,51074344,2031
cycling_al_asaq_2y,6,51272244,2031
cycling_al_asaq_2y,7,51757596,2031
cycling_al_asaq_2y,8,54511900,2031
cycling_al_asaq_2y,9,53719092,2031
cycling_al_asaq_2y,10,50694256,2031
cycling_al_asaq_2y,11,51116004,2031
cycling_al_asaq_2y,12,52211376,2031
cycling_al_asaq_2y,13,52475516,2031
cycling_al_asaq_2y,14,52865148,2031
cycling_al_asaq_2y,15,51399348,2031
cycling_al_asaq_2y,16,52619724,2031
cycling_al_asaq_2y,17,51786340,2031
cycling_al_asaq_2y,18,51465040,2031
cycling_al_asaq_2y,19,52140600,2031
cycling_al_asaq_2y,20,53207492,2031
cycling_al_asaq_2y,21,50692464,2031
cycling_al_asaq_2y,22,51658656,2031
cycling_al_asaq_2y,23,52256064,2031
cycling_al_asaq_2y,24,51099648,2031
